,Left_Time,total_distance_x,Match-1,Match-2,left_time,work_time,to_dp_time,to_dp_distance,total_distance_y,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24
0,114.30867483383685,142.7410340945046,Temp_Route0,Temp_Route1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,26.55423162096546,163.6244008381403,Temp_Route999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,68.99047036121289,154.40348030513164,Temp_Route998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4.55684058717809,154.8123363523556,Temp_Route997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6.08004814923062,164.15640176901664,Temp_Route996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,7.746318493133536,156.77557362890218,Temp_Route995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,15.828383391731485,130.43523767237832,Temp_Route994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,26.54602287924193,118.48238124466822,Temp_Route993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.7034285337454786,173.55246977606924,Temp_Route992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9.435353623853906,112.88140160852477,Temp_Route991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,8.411134999941993,128.95302572619966,Temp_Route990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,7.771952111579367,146.8692154760161,Temp_Route989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
