,left_time,work_time,to_dp_time,to_dp_distance,total_distance,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25
0,13.965860526931895,999.0,133.7965025349286,66.38129314537503,202.76771673568547,안산-1,안산-1695,안산-215,안산-220,안산-235,안산-219,안산-243,안산-247,안산-224,안산-203, , , , , , , , , , , , , , , 
1,14.894665952821082,999.0,147.79377987658788,74.54637159467626,180.725060491667,안산-1693,안산-1690,안산-1694,안산-1697,안산-1252,안산-1262,안산-1248,안산-1394,안산-1399,안산-1409,안산-1401,안산-1407,안산-1408,안산-1387, , , , , , , , , , , 
2,2.941779503616184,999.0,136.13439142351092,67.7450616637147,194.57927569767276,안산-1287,안산-1288,안산-1290,안산-1284,안산-1379,안산-1380,안산-1388,안산-213,안산-467,안산-461,안산-455,안산-473,안산-505,안산-501, , , , , , , , , , , 
3,35.66208213089142,999.0,110.7692101555162,52.94870592405112,153.4429828938105,안산-1266,안산-1271,안산-1268,안산-1265,안산-1269,안산-114,안산-120,안산-117,안산-1019,안산-1009,안산-999,안산-1028,안산-976,안산-1013,안산-1029, , , , , , , , , , 
4,39.48623853702921,999.0,72.71732263971677,30.75177153983478,142.53557781711942,안산-1194,안산-1191,안산-1187,안산-1678,안산-1652,안산-1665,안산-1312,안산-1297,안산-1761,안산-1730,안산-1725,안산-1751,안산-1741,안산-1303,안산-1746,안산-1720,안산-1733,안산-1086, , , , , , , 
5,12.398753103792913,999.0,64.61000982817913,26.022505733104488,143.00796145671777,안산-1589,안산-174,안산-57,안산-10,안산-75,안산-16,안산-72,안산-56,안산-41,안산-51,안산-29,안산-77,안산-171,안산-181,안산-1483,안산-1504,안산-1481,안산-1499,안산-1471, , , , , , 
6,8.311429264404605,999.0,90.0806137988451,40.88035804932631,139.70911778292827,안산-1635,안산-1626,안산-1633,안산-1644,안산-1649,안산-25,안산-20,안산-23,안산-824,안산-845,안산-839,안산-836,안산-592,안산-588,안산-582,안산-573,안산-595,안산-579,안산-593,안산-558,안산-557, , , , 
7,93.6774420897747,999.0,106.98264873531379,50.73987842893304,102.65412156076732,안산-198,안산-148,안산-140,안산-922,안산-921,안산-685,안산-680,안산-678,안산-940,안산-700,안산-691,안산-941,안산-938,안산-496,안산-930,안산-853,안산-798,안산-707,안산-704,안산-881,안산-884, , , , 
8,57.038752932882375,999.0,95.8870590181923,44.26745109394551,109.22333536475048,안산-475,안산-497,안산-500,안산-916,안산-519,안산-512,안산-515,안산-662,안산-661,안산-895,안산-892,안산-657,안산-904,안산-668,안산-666,안산-664,안산-672,안산-454,안산-864,안산-432,안산-532,안산-629, , , 
9,105.67780558650463,999.0,125.47526835815613,61.52723987559108,98.94274612299907,안산-776,안산-609,안산-787,안산-676,안산-389,안산-380,안산-403,안산-391,안산-401,안산-719,안산-714,안산-711,안산-737,안산-738,안산-398,안산-727,안산-726,안산-1010,안산-1022, , , , , , 
10,5.940544064239642,999.0,57.702080758249195,21.992880442312032,157.12343261761458,안산-1430,안산-1428,안산-1419,안산-1367,안산-1332,안산-1340,안산-1359,안산-1344,안산-1331,안산-1358,안산-1000,안산-994,안산-106,안산-971,안산-1328,안산-1065,안산-1095,안산-1074,안산-1058, , , , , , 
11,8.30769944984008,999.0,80.36142795852405,35.21083297580569,121.89392410476144,안산-1254,안산-869,안산-872,안산-903,안산-868,안산-880,안산-817,안산-808,안산-814,안산-821,안산-823,안산-638,안산-612,안산-338,안산-367,안산-368,안산-340,안산-336,안산-360,안산-359,안산-349,안산-347,안산-444,안산-785,안산-773
